Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0.0;0.0;0.0;0.0;0.0;15052.003827977334;16508.758548419388;18073.5587313357;19753.567036172593;21556.392274664842;23490.116119415885;25309.587613665466;27252.280967041468;29325.969686720913;31538.896575950694;33899.801229886645;36417.94910777633;39103.16227038025;41965.85187647512;45017.05253750354;48268.458634943614
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;717319.0387563718;803413.0074092333;896323.0753304901;996515.6175253493;1104486.6062513685;1220763.4048061762;1338910.6543563565;1465820.7203495395;1602074.51630615;1748289.1400575473;1905120.0398933191;2052684.7257419527;2210243.080075716;2378425.558028501;2557900.676076376;2749377.242033966;2953606.712897124;3171385.687741514;3403558.5432881;3651020.2201699894;3914719.168381849
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;25261.052270569937;28292.93086965365;31564.844697969307;35093.2175819424;38895.515642567865;42990.31046530104;47150.97494687606;51620.23010044534;56418.53333200435;61567.61631146816;67090.56125554832;72287.18791831646;77835.75084422252;83758.4520929234;90078.8340893838;96821.85815525796;104013.98754249603;111683.27522306978;119859.45670284468;128574.0481425394;137860.4500844465
Belgien;Biomass;464949.25464714546;520753.33120443614;580975.4422808378;645917.8811368687;715902.1252728006;791269.9991194835;867850.2551129727;950110.3617080124;1038426.8533247735;1057823.3580122313;1097824.5514381977;1126532.0325246565;1155239.513611115;1183946.9946975736;1212654.4757840321;1241361.9568704907;1270069.4379569495;1298776.919043408;1327484.4001298668;1356191.8812163253;1384899.3623027839
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;76364.57690630975;85529.99582751842;95421.04519858219;106087.37451718352;117581.78415464854;129960.41631956711;142538.1735476281;156048.8054576963;170554.1551249022;186119.91774518447;202815.87123968272;218525.3591973426;235298.75627266936;253203.17965753537;272309.7984902063;292694.07125700056;314435.9968042486;337620.37972807896;362337.11095228174;388681.4643495847;416754.4103092372
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Solar;83052.00311272514;93020.05939761178;103777.29130320529;115377.69625086413;127878.69846503084;141341.35665998707;155020.57776976458;169714.36759886993;185489.98496646134;202418.87815181477;220576.93569328738;237662.14058297864;255904.42362240583;275376.7796143183;296156.61014636594;318325.98178258265;341971.899057055;367186.5931045182;394067.8268090851;422719.21740134736;453250.5774858131
Belgien;Wind;1569629.3243822523;1758019.1628623027;1856975.9747485896;1966239.9600341965;2075503.9453198032;2184767.93060541;2282107.5559043437;2379447.181203278;2476786.806502212;2574126.4318011454;2671466.0571000795;2741323.3591679265;2811180.661235773;2881037.96330362;2950895.265371467;3020752.5674393135;3090609.8695071605;3160467.1715750075;3230324.473642854;3300181.7757107015;3370039.077778548
Kroatien;Biomass;838.552880176688;939.1975605477304;1047.8103267554354;1164.9363756825414;1291.1555036854697;1427.0842035494848;1565.1994786814842;1713.5585708178098;1872.8405734710643;2043.7668799626;2227.103715669611;2399.6082577841926;2583.7954948210586;2780.4024349171505;2990.2105802857986;3214.0485341040194;3452.794756853347;3707.380480542348;3978.792789708115;4268.077878589103;4576.34449438392
Kroatien;Geothermal;0.0;0.0;0.0;0.0;0.0;234.094443368226;256.7504424832451;281.0868054013454;307.21492850504774;335.25314690561686;365.3271498249804;393.62425707651016;423.8377571786304;456.0885466482715;490.5048206719301;527.2225007313339;566.3856867449982;608.1471351082005;652.6687640908606;700.1221881340161;750.6892826712602
Kroatien;Hydro;333836.5948283186;373904.28546170343;417144.153671356;463773.24798831943;468384.9926451738;493042.9129829237;515009.8284313548;536976.7438797856;558943.6593282168;580910.5747766478;602877.4902250788;618642.3901131484;634407.290001218;650172.1898892876;665937.0897773572;681701.9896654267;697466.8895534964;713231.789441566;728996.6893296355;744761.5892177051;760526.4891057747
Kroatien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Kroatien;Solar;0.0;0.0;0.0;0.0;0.0;519.5545657188147;569.8378087200763;623.8504896071669;681.8398440611664;744.068507736548;810.815438169315;873.6186856861365;940.6752193592168;1012.2533596853903;1088.6376259957826;1170.1296855380008;1257.0493569694513;1349.7356713302017;1448.547993734604;1553.8672092011207;1666.0969762299524
Kroatien;Wind;42918.21718137227;48069.34163926461;53628.282999992734;59622.94514269552;66083.0027921686;73040.00884373227;80108.92663569207;87702.13618473854;95854.39437210042;104602.62303773663;113986.03858400624;122815.04338294844;132241.98356532486;142304.58015748154;143938.07249761437;147345.55548337993;150753.03846914554;154160.52145491113;157568.00444067674;160975.4874264423;164382.97041220788
Zypern;Biomass;0.0;0.0;0.0;0.0;0.0;1605.9325756809676;1761.3570551769499;1928.309151183328;2107.553064152402;2299.900595540424;2506.2139974068687;2700.3375557404956;2907.607934913968;3128.854508115437;3364.9567187997677;3616.847014282243;3885.5139475159663;4172.005456537355;4477.432331592095;4802.971880510964;5149.871803492739
Zypern;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Hydro;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Zypern;Solar;0.0;0.0;0.0;0.0;0.0;8344.056682580376;9151.606567559273;10019.051299329607;10950.36148785808;11949.755066991072;13021.712100317722;14030.333507398367;15107.26277493628;16256.80913545949;17483.541975097687;18792.306075861048;20188.237731763;21676.7817880655;23263.709655668834;24955.138355562347;26757.55065130603
Zypern;Wind;119678.67257927345;122448.63181070877;130103.91230604883;137759.1928013889;145414.47329672897;153069.75379206904;159889.5868141472;166709.4198362253;173529.25285830343;180349.08588038158;187168.9189024597;192063.2785634148;196957.63822436993;201851.99788532505;206746.35754628017;211640.71720723528;216535.0768681904;221429.43652914558;226323.79619010066;231218.1558510558;236112.5155120109
Tschechien;Biomass;618601.7340898346;692847.4677534358;772971.2704481723;859375.3347429992;952487.3772911882;1052762.1857573385;1154650.03412171;1264094.7618581255;1381597.337282878;1507689.9333454606;1642937.7956710942;1770194.6585513076;1906069.863230365;1935857.4300793437;1982796.6856448166;2029735.9412102897;2076675.1967757628;2123614.4523412357;2170553.7079067086;2217492.963472182;2264432.219037655
Tschechien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tschechien;Hydro;654860.3968380821;733457.9628181017;818278.1344040283;909746.6782415019;1008316.3811267132;1114468.687604842;1222328.5805471742;1338188.2910647278;1462578.1511826685;1596061.5265847414;1739236.7941490656;1873952.678592422;2017792.0594947415;2171330.496790812;2335178.297667753;2509982.5523904106;2478450.935603447;2534471.560327717;2590492.1850519883;2646512.809776259;2702533.4345005294
Tschechien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Tschechien;Solar;215449.91452849266;241308.61503062397;269214.56079664716;299307.82960169617;331737.3888852584;366661.6345231726;402147.6783085073;440265.6723860675;481190.0966756127;525106.299213147;572211.1467627458;616532.8463632914;663856.1880569845;714370.5318041386;768276.6694558657;825787.4945432554;887128.7104657443;952539.5792441238;1022273.7131241771;1096599.9114441255;1083401.935560161
