Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0.0;0.0;0.0;0.0;0.0;301040.0765595466;330175.1709683876;361471.17462671397;395071.34072345187;431127.8454932968;469802.3223883176;506191.7522733093;545045.6193408293;586519.3937344182;630777.9315190138;677996.0245977329;728358.9821555265;782063.245407605;839317.0375295025;900341.0507500707;965369.1726988722
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;14346380.775127437;16068260.148184665;17926461.5066098;19930312.350506984;22089732.125027366;24415268.09612352;26778213.087127127;29316414.406990785;32041490.326122995;34965782.80115094;38102400.79786638;41053694.51483905;44204861.60151431;47568511.160570025;51158013.52152751;54987544.84067932;59072134.25794248;63427713.75483027;68071170.865762;73020404.4033998;78294383.36763698
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;505221.04541139875;565858.6173930729;631296.8939593862;701864.3516388478;777910.3128513574;859806.2093060208;943019.4989375211;1032404.6020089068;1128370.666640087;1231352.3262293632;1341811.2251109665;1445743.758366329;1556715.0168844503;1675169.0418584677;1801576.681787676;1936437.163105159;2080279.7508499208;2233665.504461396;2397189.1340568936;2571480.962850788;2757209.0016889297
Belgien;Biomass;9298985.092942908;10415066.62408872;11619508.845616756;12918357.622737372;14318042.50545601;15825399.982389668;17357005.102259453;19002207.23416025;20768537.066495463;21156467.160244625;21956491.028763954;22530640.650493126;23104790.272222295;23678939.893951472;24253089.515680645;24827239.137409814;25401388.759138986;25975538.38086816;26549688.002597332;27123837.624326505;27697987.246055678
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;1527291.5381261948;1710599.9165503683;1908420.9039716437;2121747.4903436704;2351635.683092971;2599208.326391342;2850763.470952562;3120976.109153926;3411083.1024980433;3722398.3549036887;4056317.424793654;4370507.183946852;4705975.125453386;5064063.593150707;5446195.969804126;5853881.42514001;6288719.936084972;6752407.594561579;7246742.219045634;7773629.286991694;8335088.206184744
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
