Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0.0;0.0;0.0;0.0;0.0;1505200.382797733;1650875.8548419382;1807355.8731335695;1975356.7036172592;2155639.227466484;2349011.611941588;2530958.7613665466;2725228.096704147;2932596.968672091;3153889.657595069;3389980.122988665;3641794.9107776326;3910316.227038025;4196585.187647511;4501705.253750354;4826845.86349436
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;71731903.87563719;80341300.74092333;89632307.53304902;99651561.75253494;110448660.62513684;122076340.4806176;133891065.43563563;146582072.03495392;160207451.630615;174828914.00575468;190512003.9893319;205268472.5741952;221024308.00757158;237842555.8028501;255790067.60763752;274937724.20339656;295360671.2897124;317138568.7741513;340355854.3288099;365102022.01699895;391471916.8381849
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;2526105.2270569936;2829293.086965365;3156484.4697969304;3509321.7581942393;3889551.564256787;4299031.046530103;4715097.494687606;5162023.010044534;5641853.333200434;6156761.631146817;6709056.125554833;7228718.791831644;7783575.08442225;8375845.20929234;9007883.40893838;9682185.815525794;10401398.754249603;11168327.522306979;11985945.670284467;12857404.814253941;13786045.008444648
Belgien;Biomass;46494925.46471454;52075333.120443605;58097544.228083774;64591788.11368686;71590212.52728006;79126999.91194834;86785025.51129727;95011036.17080122;103842685.33247735;105782335.80122311;109782455.14381976;112653203.25246562;115523951.36111148;118394699.46975735;121265447.57840322;124136195.68704906;127006943.79569495;129877691.90434079;132748440.01298666;135619188.12163252;138489936.23027837
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;7636457.690630975;8552999.582751842;9542104.519858219;10608737.45171835;11758178.415464854;12996041.631956711;14253817.354762811;15604880.545769626;17055415.512490217;18611991.77451844;20281587.12396827;21852535.91973426;23529875.627266932;25320317.965753537;27230979.849020626;29269407.12570005;31443599.68042486;33762037.97280789;36233711.09522817;38868146.43495847;41675441.03092372
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Solar;8305200.311272512;9302005.939761177;10377729.130320529;11537769.625086412;12787869.846503083;14134135.665998705;15502057.776976457;16971436.759886988;18548998.496646136;20241887.815181475;22057693.569328737;23766214.058297865;25590442.362240583;27537677.961431824;29615661.01463659;31832598.17825826;34197189.905705504;36718659.31045182;39406782.6809085;42271921.74013472;45325057.74858131
Belgien;Wind;156962932.4382252;175801916.28623027;185697597.47485894;196623996.00341964;207550394.5319803;218476793.06054097;228210755.5904344;237944718.12032777;247678680.65022114;257412643.18011454;267146605.71000794;274132335.91679263;281118066.1235773;288103796.33036196;295089526.5371466;302075256.74393135;309060986.950716;316046717.15750074;323032447.3642854;330018177.57107013;337003907.77785474
Kroatien;Biomass;83855.2880176688;93919.75605477304;104781.03267554352;116493.63756825414;129115.55036854699;142708.42035494847;156519.9478681484;171355.857081781;187284.05734710643;204376.68799625998;222710.37156696108;239960.82577841924;258379.54948210585;278040.24349171505;299021.05802857986;321404.85341040185;345279.47568533465;370738.04805423477;397879.2789708115;426807.7878589104;457634.44943839207
