Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;0;0;0;0;0;1505200.383;1650875.855;1807355.873;1975356.704;2155639.227;2349011.612;2530958.761;2725228.097;2932596.969;3153889.658;3389980.123;3641794.911;3910316.227;4196585.188;4501705.254;4826845.863
Österreich;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Österreich;Hydro;71731903.88;80341300.74;89632307.53;99651561.75;110448660.6;122076340.5;133891065.4;146582072;160207451.6;174828914;190512004;205268472.6;221024308;237842555.8;255790067.6;274937724.2;295360671.3;317138568.8;340355854.3;365102022;391471916.8
Österreich;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Österreich;Solar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Österreich;Wind;2526105.227;2829293.087;3156484.47;3509321.758;3889551.564;4299031.047;4715097.495;5162023.01;5641853.333;6156761.631;6709056.126;7228718.792;7783575.084;8375845.209;9007883.409;9682185.816;10401398.75;11168327.52;11985945.67;12857404.81;13786045.01
Belgien;Biomass;46494925.46;52075333.12;58097544.23;64591788.11;71590212.53;79126999.91;86785025.51;95011036.17;103842685.3;105782335.8;109782455.1;112653203.3;115523951.4;118394699.5;121265447.6;124136195.7;127006943.8;129877691.9;132748440;135619188.1;138489936.2
Belgien;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgien;Hydro;7636457.691;8552999.583;9542104.52;10608737.45;11758178.42;12996041.63;14253817.35;15604880.55;17055415.51;18611991.77;20281587.12;21852535.92;23529875.63;25320317.97;27230979.85;29269407.13;31443599.68;33762037.97;36233711.1;38868146.43;41675441.03
Belgien;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Belgien;Solar;8305200.311;9302005.94;10377729.13;11537769.63;12787869.85;14134135.67;15502057.78;16971436.76;18548998.5;20241887.82;22057693.57;23766214.06;25590442.36;27537677.96;29615661.01;31832598.18;34197189.91;36718659.31;39406782.68;42271921.74;45325057.75
Belgien;Wind;156962932.4;175801916.3;185697597.5;196623996;207550394.5;218476793.1;228210755.6;237944718.1;247678680.7;257412643.2;267146605.7;274132335.9;281118066.1;288103796.3;295089526.5;302075256.7;309060987;316046717.2;323032447.4;330018177.6;337003907.8
Kroatien;Biomass;83855.28802;93919.75605;104781.0327;116493.6376;129115.5504;142708.4204;156519.9479;171355.8571;187284.0573;204376.688;222710.3716;239960.8258;258379.5495;278040.2435;299021.058;321404.8534;345279.4757;370738.0481;397879.279;426807.7879;457634.4494
Kroatien;Geothermal;0;0;0;0;0;23409.44434;25675.04425;28108.68054;30721.49285;33525.31469;36532.71498;39362.42571;42383.77572;45608.85466;49050.48207;52722.25007;56638.56867;60814.71351;65266.87641;70012.21881;75068.92827
Kroatien;Hydro;33383659.48;37390428.55;41714415.37;46377324.8;46838499.26;49304291.3;51500982.84;53697674.39;55894365.93;58091057.48;60287749.02;61864239.01;63440729;65017218.99;66593708.98;68170198.97;69746688.96;71323178.94;72899668.93;74476158.92;76052648.91
Kroatien;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kroatien;Solar;0;0;0;0;0;51955.45657;56983.78087;62385.04896;68183.98441;74406.85077;81081.54382;87361.86857;94067.52194;101225.336;108863.7626;117012.9686;125704.9357;134973.5671;144854.7994;155386.7209;166609.6976
Kroatien;Wind;4291821.718;4806934.164;5362828.3;5962294.514;6608300.279;7304000.884;8010892.664;8770213.618;9585439.437;10460262.3;11398603.86;12281504.34;13224198.36;14230458.02;14393807.25;14734555.55;15075303.85;15416052.15;15756800.44;16097548.74;16438297.04
Zypern;Biomass;0;0;0;0;0;160593.2576;176135.7055;192830.9151;210755.3064;229990.0596;250621.3997;270033.7556;290760.7935;312885.4508;336495.6719;361684.7014;388551.3948;417200.5457;447743.2332;480297.1881;514987.1803
Zypern;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zypern;Hydro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zypern;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zypern;Solar;0;0;0;0;0;834405.6683;915160.6568;1001905.13;1095036.149;1194975.507;1302171.21;1403033.351;1510726.277;1625680.914;1748354.198;1879230.608;2018823.773;2167678.179;2326370.966;2495513.836;2675755.065
Zypern;Wind;11967867.26;12244863.18;13010391.23;13775919.28;14541447.33;15306975.38;15988958.68;16670941.98;17352925.29;18034908.59;18716891.89;19206327.86;19695763.82;20185199.79;20674635.75;21164071.72;21653507.69;22142943.65;22632379.62;23121815.59;23611251.55
Tschechien;Biomass;61860173.41;69284746.78;77297127.04;85937533.47;95248737.73;105276218.6;115465003.4;126409476.2;138159733.7;150768993.3;164293779.6;177019465.9;190606986.3;193585743;198279668.6;202973594.1;207667519.7;212361445.2;217055370.8;221749296.3;226443221.9
Tschechien;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
