Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Dänemark;Biomass;1801044.687;2017209.429;2250488.033;2293482.468;2420931.325;2548380.182;2661920.1;2775460.018;2888999.936;3002539.854;3116079.772;3197563.467;3279047.163;3360530.858;3442014.553;3523498.248;3604981.943;3686465.639;3767949.334;3849433.029;3930916.724
Dänemark;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dänemark;Hydro;9703.896257;10868.57598;12125.46394;13480.86925;13616.00294;14332.81138;14971.39201;15609.97264;16248.55328;16887.13391;17525.71454;17984.00191;18442.28927;18900.57663;19358.864;19817.15136;20275.43872;20733.72609;21192.01345;21650.30081;22108.58818
Dänemark;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Dänemark;Solar;171357.1622;191923.7684;214118.6422;238053.194;263845.9044;291622.7529;319846.4251;350163.4076;382712.4723;417641.035;455105.6728;490356.7458;527995.1619;568171.5278;611045.5424;656786.5296;705574.0017;757598.2546;813060.9978;872176.0198;935169.8914
Dänemark;Wind;9274514.337;9713069.366;10320313.97;10927558.57;11534803.17;12142047.77;12683021.64;13223995.52;13764969.4;14305943.28;14846917.16;15235155.51;15623393.86;16011632.21;16399870.56;16788108.91;17176347.26;17564585.61;17952823.96;18341062.31;18729300.67
Estland;Biomass;0;0;0;0;0;22688.31205;24884.11974;27242.78741;29775.11155;32492.56114;35407.31791;38149.85887;41078.13563;44203.86542;47539.47285;51098.13136;54893.80704;58941.30496;63256.31815;67855.4794;72756.41598
Estland;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Estland;Hydro;133748.5024;138532.6546;147193.4809;155854.3071;164515.1334;173175.9597;180891.5998;188607.2399;196322.88;204038.52;211754.1601;217291.4097;222828.6593;228365.9089;233903.1585;239440.4081;244977.6577;250514.9073;256052.1569;261589.4064;267126.656
Estland;Other RES;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Estland;Solar;0;0;0;0;0;2080.638673;2282.005896;2498.308244;2730.535812;2979.740367;3247.039038;3498.544605;3767.08313;4053.729147;4359.622058;4685.969937;5034.053549;5405.230598;5800.940217;6222.707721;6672.149626
Estland;Wind;3337439.945;3468870.232;3685738.107;3902605.982;4119473.858;4336341.733;4529542.061;4722742.388;4915942.715;5109143.043;5302343.37;5440996.602;5579649.834;5718303.066;5856956.297;5995609.529;6134262.761;6272915.993;6411569.225;6550222.457;6688875.688
Finnland;Biomass;6791234.269;7606330.87;8485959.045;9434534.211;9615599.705;10121808.69;10572773.32;11023737.95;11474702.58;11925667.22;12376631.85;12700273.66;13023915.47;13347557.28;13671199.09;13994840.9;14318482.71;14642124.52;14965766.33;15289408.14;15613049.95
Finnland;Geothermal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
