Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;493.27314645530237;560.7138993311225;633.6655446283866;712.5105697070491;797.6559334320069;162261.2359249278;181591.90141728803;202449.9803690719;224939.88746249102;249172.66031432935;275266.36073269526;302368.4197071398;331492.5186771969;362773.106494992;396353.0217978736;432383.9958648058;471027.18478393665;512453.7326053185;556845.3672468787;604395.0310210815;655307.5477545876
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;17880.61855355357;20383.90515105107;23092.818861914435;26021.664180986514;29185.661984811006;32601.005408565492;36969.540133313276;41693.42581701442;46797.27621875238;52307.27809612162;58251.2869706809;64658.92853745581;71561.70604348148;78993.11397876611;86988.75844247048;95586.4845675984
Österreich;Hydro;6684836.636285762;7598793.576457101;8587434.119054858;9655941.73197125;10809831.520881645;12054970.434353149;13491115.054221492;15040736.70999079;16711592.743701458;18511932.539008223;20450527.3319864;22464036.70645081;24627770.700031698;26951718.001204547;29446490.6057446;32123361.17573564;34994302.57621144;38072029.71379547;41370043.80869737;44902679.23880497;48685153.10240159
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;20434.99263263265;26820.92783033035;33794.36906621625;41398.1021061149;49677.72252733788;58681.809735417875;79073.7386184756;101358.15586550055;125673.33049068181;152166.62718871745;180995.07023032993;212325.9410081319;246337.41118813818;283219.21353362483;323173.3525856898;366414.8575091272
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;725442.238458459;847541.3194384391;980036.7029202712;1123662.77145169;1279201.3550789505;1447484.6401403078;1571890.076779394;1705117.3454820376;1847737.6158629975;2000357.119918348;2163619.2303395765;2338206.659003132;2524843.782457193;2724299.101609153;2937387.8432201664;3164974.7112382576
Österreich;Wind;186190.42515885347;211646.54929862547;239182.80978947756;268943.5799561683;301082.4701150545;546692.0442768427;611821.0997472423;682096.3306539899;757869.5319020441;839514.8124482686;927429.9472193606;1018742.4528858751;1116867.6342509924;1222258.477620407;1335396.2362411355;1456792.1245298863;1586989.1110569085;1726563.8159253083;1876128.5185029062;2036333.2817984507;2207868.200127292
Belgien;Biomass;1481581.6945161102;1684144.8902692646;1903260.451361444;2140077.206337169;2395817.485682062;2671781.5999456015;2990078.918974323;3333526.515906053;3703843.67523352;4102858.734203969;4532515.689883378;4978776.203528567;5458331.479313565;5973395.342168242;6526319.762610102;7119603.136740728;7755899.048877891;8438025.54438692;9168974.941824654;9951924.215145197;10790245.97844323
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;20916.29023800609;23844.570871326945;27013.38884238487;30439.477183370273;34140.64088634824;38135.8222666656;43246.0224503988;48771.90309683864;54742.25675179648;61187.71601450801;68140.86556161121;75636.36077338843;83711.05334243935;92404.1242664619;101757.22464953062;111814.62476024004
Belgien;Hydro;615063.1168073972;699155.1051139168;790118.6344590697;888430.6289759531;994598.5263583775;1109162.136906604;1241299.9338555494;1383878.6051571227;1537611.8937542143;1703258.8146981224;1881626.398002036;2066886.7744271946;2265969.122499865;2479792.4884437337;2709333.2681757393;2955628.6446598363;3219780.2256219042;3502957.8930685297;3806403.876695762;4131437.063953046;4479457.56024432
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;23904.331700578394;31374.43535700914;39531.788549831515;48426.440973543606;58111.72916825233;68644.48007999807;92498.43690779743;118566.17821817669;147009.44756732442;178000.6284058415;211723.40370929195;248373.4549720728;288159.2028518585;331302.59188219276;378039.9218084306;428622.7282475868
Belgien;Solar;109672.553133088;124667.08426915313;140886.88713599203;158417.00257884196;177347.91234813692;699153.1512610556;782445.3536032707;872318.8933015547;969223.6735856589;1073638.1346649192;1186070.9826681423;1302848.658060758;1428338.9235359645;1563121.0939135402;1707810.6340200335;1863061.3254023923;2029567.5593379366;2208066.7633535294;2399341.968872337;2604224.528034641;2823596.988190995
Belgien;Wind;1491103.9403056018;1694969.0261570248;1915492.8607428258;2153831.6562218145;2411215.5990968454;2688953.357118825;3009296.398848594;3354951.361358542;3727648.5791223645;4129228.1402591723;4561646.536061855;5010775.202244836;5493412.61870596;6011786.838807585;6568264.949372606;7165361.403897113;7805746.841500638;8492257.419354772;9227904.687890569;10015886.039731557;10859595.765036918
Kroatien;Biomass;11296.5174337739;12840.987563727698;14511.66341309244;16317.304378484338;18267.230281882697;46025.92460820524;51509.13042446959;57425.592010839864;63804.926929786;70678.63136059963;78080.19391717018;85767.78064097672;94028.92555237096;102901.76550330222;112426.81713544566;122647.11951704518;133608.38509396603;145359.15942978635;157950.99023645383;171438.60622521353;185880.10633725813
Kroatien;Geothermal;0.0;0.0;0.0;0.0;0.0;2523.5479699708967;2824.1857740857477;3148.578488687157;3498.350010313492;3875.227237880744;4281.0463131789365;4702.54776124281;5155.496738330124;5641.984243723062;6164.231757809469;6724.599062695209;7325.592518674996;7969.873822596027;8660.269275612472;9399.779589374073;10191.590261322803
Kroatien;Hydro;1618659.794869158;1839964.4330807747;2079352.8856263806;2338080.272343845;2617482.01551899;2918978.73233079;3266725.383786756;3641949.2535574925;4046528.6968458346;4482461.211329117;4951870.655518615;5439419.843085382;5963344.27277003;6526062.5958154285;7130144.390483445;7778319.208128721;8473486.146562316;9218723.980818952;10017301.883134844;9999104.304830775;10325143.223395027
Kroatien;Other RES;0.0;0.0;0.0;0.0;0.0;3653.3689008370807;4795.046682348669;6041.758819759321;7401.15455420517;8881.385465046204;10491.13658058583;14136.80654233941;18120.81565881688;22467.883670586245;27204.35644438551;32358.30678638824;37959.64127148027;44040.21343811554;50633.94371823564;57776.94649277245;65507.66468546736
