Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Tschechien;Geothermal;0;0;0;0;0;20928.43277;23858.41336;27029.07093;30457.14822;34160.46056;38157.96126;43271.12807;48800.21665;54774.03628;61223.23732;68180.42338;75680.26996;83759.65013;92457.76764;101816.2978;111879.5365
Tschechien;Hydro;6662128.104;7572980.313;8558262.423;9623140.292;10773110.29;12014019.44;13445285.45;14989643.01;16654823.11;18449047.11;20381056.46;22387725.9;24544109.64;26860162.44;29346460.25;32014237.43;32056109.57;33214689.96;34373270.35;35531850.75;36690431.14
Tschechien;Other RES;0;0;0;0;0;23918.20888;31392.64916;39554.73794;48454.55398;58145.46478;68684.33027;92552.13503;118635.0095;147094.791;178103.9631;211846.3155;248517.6432;288326.4879;331494.923;378259.3854;428871.5566
Tschechien;Solar;2191848.732;2491520.283;2815679.367;3166025.558;3544367.171;3952627.88;4423516.241;4931611.868;5479458.267;6069760.276;6705393.841;7365590.673;8075043.703;8837028.06;9655023.244;10532725.38;11474060.16;12483196.61;13564561.56;14722855.01;14708600.31
Tschechien;Wind;2414936.159;2745108.426;2951806.75;3161038.901;3370271.053;3579503.205;3815181.056;4050858.907;4286536.758;4522214.609;4757892.46;4977469.547;5197046.634;5416623.722;5636200.809;5855777.896;6075354.983;6294932.07;6514509.157;6734086.244;6953663.331
Dänemark;Biomass;1832266.921;2082776.119;2353755.57;2426005.401;2586584.991;2747164.581;2928040.476;3108916.37;3289792.265;3470668.16;3651544.055;3820063.082;3988582.108;4157101.135;4325620.162;4494139.189;4662658.215;4831177.242;4999696.269;5168215.296;5336734.323
Dänemark;Geothermal;0;0;0;0;0;7554.994257;8612.693453;9757.275083;10994.78314;12331.64882;13774.71411;15620.5258;17616.48187;19772.98224;22101.09144;24612.5791;27319.9628;30236.55343;33376.5032;36754.85658;40387.60403
Dänemark;Hydro;9872.119353;11221.84448;12681.86183;14259.82629;14547.68604;15450.8311;16468.12832;17485.42555;18502.72277;19520.01999;20537.31722;21485.11592;22432.91462;23380.71332;24328.51202;25276.31072;26224.10942;27171.90812;28119.70682;29067.50552;30015.30422
Dänemark;Other RES;0;0;0;0;0;8634.279151;11332.49139;14278.93915;17491.70045;20990.04054;24794.48539;33410.56907;42826.27489;53100.02488;64294.08418;76474.79935;89712.85082;104083.5204;119666.9749;136548.566;154819.1488
Dänemark;Solar;174327.7455;198161.9933;223943.8466;251808.4801;281899.7174;314370.5572;351822.4603;392233.6273;435806.3549;482755.7711;533310.6131;585819.084;642245.1254;702849.2233;767908.1181;837715.7794;912584.4365;992845.6699;1078851.565;1170975.936;1269615.616
Dänemark;Wind;9435293.83;10028779.67;10793879.43;11558979.18;12324078.93;13089178.69;13950982.5;14812786.31;15674590.12;16536393.94;17398197.75;18201125.85;19004053.96;19806982.07;20609910.17;21412838.28;22215766.38;23018694.49;23821622.6;24624550.7;25427478.81
