Land;Technologie;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040
Österreich;Biomass;484.8676629955943;543.0623840657356;605.864408085402;673.5889785468707;746.5713450342728;150520.0382797733;165087.5854841938;180735.58731335698;197535.67036172593;215563.9227466484;234901.1611941588;253095.87613665464;272522.80967041466;293259.6968672091;315388.9657595069;338998.01229886647;364179.49107776326;391031.6227038025;419658.51876475126;450170.52537503536;482684.5863494361
Österreich;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Hydro;6570925.542237909;7359580.278956608;8210673.1754915835;9128476.410982663;10117533.287084125;11182674.659768272;12264950.101892859;13427496.401580485;14675634.955982141;16015018.624820009;17451651.57315171;18803402.343710054;20246699.06239136;21787316.947081517;23431379.872584715;25185380.798270527;27056203.36684345;29051144.740278;31177939.742638897;33444786.38338518;35860372.8388495
Österreich;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Solar;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Österreich;Wind;183017.6991544579;204983.8246893948;228689.0185299392;254252.27219281465;281800.1286756527;507133.49348497216;556214.6071341292;608935.9984144894;665538.9923050504;726279.9455886312;791431.1467198075;852732.9471790962;918186.3498175141;988053.2603518261;1062611.3960650256;1142155.2121986654;1226996.8814555067;1317467.329607535;1413917.3303711277;1516718.6628870608;1626265.3353286595
Belgien;Biomass;1456335.214919658;1631127.2831167153;1819757.7200961788;2023173.3825657975;2242381.216982137;2478451.9013836966;2718320.064320143;2975978.913796775;3252607.848060269;3549459.7284656214;3867865.277291358;4167458.1179505205;4487340.579482371;4828792.641872531;5193171.559053;5581916.386346835;5996552.767472421;6438697.995744699;6910066.364925523;7412474.826035067;7947848.967343252
Belgien;Geothermal;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Belgien;Hydro;604582.3053297151;677145.4010107844;755453.3504966361;839899.2314285462;930901.0670774059;1028903.33821258;1128482.092772409;1235446.4644426897;1350286.0680480667;1473521.0158528753;1605703.7432680444;1730076.5720030738;1862872.424253436;2004622.6702988266;2155890.7598881223;2317274.101760601;2489406.0509206075;2672958.0097422125;2868641.649318677;3077211.2578284326;3299466.2230658666
Belgien;Other RES;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
