0;1
('Belgien', 'Biomass', 2030);0.0
('Belgien', 'Biomass', 2031);0.0
('Belgien', 'Biomass', 2032);0.0
('Belgien', 'Biomass', 2033);0.0
('Belgien', 'Biomass', 2034);0.0
('Belgien', 'Biomass', 2035);0.0
('Belgien', 'Biomass', 2036);0.0
('Belgien', 'Biomass', 2037);0.0
('Belgien', 'Biomass', 2038);0.0
('Belgien', 'Biomass', 2039);0.0
('Belgien', 'Biomass', 2040);0.0
('Belgien', 'Geothermal', 2020);0.0
('Belgien', 'Geothermal', 2021);0.0
('Belgien', 'Geothermal', 2022);0.0
('Belgien', 'Geothermal', 2023);0.0
('Belgien', 'Geothermal', 2024);0.0
('Belgien', 'Geothermal', 2025);0.0
('Belgien', 'Geothermal', 2026);0.0
('Belgien', 'Geothermal', 2027);0.0
('Belgien', 'Geothermal', 2028);0.0
('Belgien', 'Geothermal', 2029);0.0
('Belgien', 'Geothermal', 2030);0.0
('Belgien', 'Geothermal', 2031);0.0
('Belgien', 'Geothermal', 2032);0.0
('Belgien', 'Geothermal', 2033);0.0
('Belgien', 'Geothermal', 2034);0.0
('Belgien', 'Geothermal', 2035);0.0
('Belgien', 'Geothermal', 2036);0.0
('Belgien', 'Geothermal', 2037);0.0
('Belgien', 'Geothermal', 2038);0.0
('Belgien', 'Geothermal', 2039);0.0
('Belgien', 'Geothermal', 2040);0.0
('Belgien', 'Hydro', 2020);0.0
('Belgien', 'Hydro', 2021);0.0
('Belgien', 'Hydro', 2022);0.0
('Belgien', 'Hydro', 2023);0.0
('Belgien', 'Hydro', 2024);0.0
('Belgien', 'Hydro', 2025);0.0
('Belgien', 'Hydro', 2026);0.0
('Belgien', 'Hydro', 2027);0.0
('Belgien', 'Hydro', 2028);0.0
('Belgien', 'Hydro', 2029);0.0
('Belgien', 'Hydro', 2030);0.0
('Belgien', 'Hydro', 2031);0.0
('Belgien', 'Hydro', 2032);0.0
('Belgien', 'Hydro', 2033);0.0
('Belgien', 'Hydro', 2034);0.0
('Belgien', 'Hydro', 2035);0.0
('Belgien', 'Hydro', 2036);0.0
('Belgien', 'Hydro', 2037);0.0
('Belgien', 'Hydro', 2038);0.0
('Belgien', 'Hydro', 2039);0.0
('Belgien', 'Hydro', 2040);0.0
('Belgien', 'Other RES', 2020);0.0
('Belgien', 'Other RES', 2021);0.0
('Belgien', 'Other RES', 2022);0.0
('Belgien', 'Other RES', 2023);0.0
('Belgien', 'Other RES', 2024);0.0
('Belgien', 'Other RES', 2025);0.0
('Belgien', 'Other RES', 2026);0.0
('Belgien', 'Other RES', 2027);0.0
('Belgien', 'Other RES', 2028);0.0
('Belgien', 'Other RES', 2029);0.0
('Belgien', 'Other RES', 2030);0.0
('Belgien', 'Other RES', 2031);0.0
('Belgien', 'Other RES', 2032);0.0
('Belgien', 'Other RES', 2033);0.0
('Belgien', 'Other RES', 2034);0.0
('Belgien', 'Other RES', 2035);0.0
('Belgien', 'Other RES', 2036);0.0
('Belgien', 'Other RES', 2037);0.0
('Belgien', 'Other RES', 2038);0.0
('Belgien', 'Other RES', 2039);0.0
('Belgien', 'Other RES', 2040);0.0
('Belgien', 'Solar', 2020);0.0
('Belgien', 'Solar', 2021);0.0
('Belgien', 'Solar', 2022);0.0
('Belgien', 'Solar', 2023);0.0
('Belgien', 'Solar', 2024);0.0
('Belgien', 'Solar', 2025);0.0
('Belgien', 'Solar', 2026);0.0
('Belgien', 'Solar', 2027);0.0
('Belgien', 'Solar', 2028);0.0
('Belgien', 'Solar', 2029);0.0
('Belgien', 'Solar', 2030);0.0
('Belgien', 'Solar', 2031);0.0
('Belgien', 'Solar', 2032);0.0
('Belgien', 'Solar', 2033);0.0
('Belgien', 'Solar', 2034);0.0
('Belgien', 'Solar', 2035);0.0
('Belgien', 'Solar', 2036);0.0
('Belgien', 'Solar', 2037);0.0
